entity,attribute,gold_value,entity_documents,cue_documents,support_documents,distortion_candidate_documents,covered,distinct_support_formulations,support_formulation_entropy_bits
Aconyx,classification,Onyx Geminon,144,39,0,39,0,0,0.0
Aconyx,types,dark,144,40,2,38,1,2,1.0
Aconyx,ability,Soundproof,144,38,0,38,0,0,0.0
Aconyx,hp,57,144,44,0,44,0,0,0.0
Aconyx,attack,12,144,37,0,37,0,0,0.0
Aconyx,defense,26,144,35,0,35,0,0,0.0
Aconyx,special attack,49,144,27,0,27,0,0,0.0
Aconyx,special defense,23,144,30,0,30,0,0,0.0
Aconyx,speed,11,144,36,0,36,0,0,0.0
Aconyx,base_stat_total,178,144,27,0,27,0,0,0.0
Aconyx,weight,682,144,26,0,26,0,0,0.0
Aconyx,height,26,144,21,0,21,0,0,0.0
Aconyx,move,Hone Claws,144,71,0,71,0,0,0.0
Aegisstant,classification,Guardian Geminon,41,14,0,14,0,0,0.0
Aegisstant,types,fighting | dragon,41,13,0,13,0,0,0.0
Aegisstant,ability,Disguise,41,11,0,11,0,0,0.0
Aegisstant,hp,89,41,6,0,6,0,0,0.0
Aegisstant,attack,94,41,15,0,15,0,0,0.0
Aegisstant,defense,136,41,14,0,14,0,0,0.0
Aegisstant,special attack,142,41,6,0,6,0,0,0.0
Aegisstant,special defense,113,41,6,0,6,0,0,0.0
Aegisstant,speed,127,41,9,0,9,0,0,0.0
Aegisstant,base_stat_total,701,41,3,0,3,0,0,0.0
Aegisstant,weight,861,41,6,0,6,0,0,0.0
Aegisstant,height,48,41,6,0,6,0,0,0.0
Aegisstant,move,Reversal,41,19,0,19,0,0,0.0
Aerion,classification,Cloud Geminon,1003,283,16,267,1,18,4.169925
Aerion,types,flying,1003,289,138,151,1,153,7.257388
Aerion,ability,Levitate,1003,230,0,230,0,0,0.0
Aerion,hp,30,1003,220,0,220,0,0,0.0
Aerion,attack,45,1003,270,2,268,1,2,1.0
Aerion,defense,20,1003,206,0,206,0,0,0.0
Aerion,special attack,51,1003,183,2,181,1,2,1.0
Aerion,special defense,57,1003,150,1,149,1,1,-0.0
Aerion,speed,46,1003,296,1,295,1,1,-0.0
Aerion,base_stat_total,249,1003,159,0,159,0,0,0.0
Aerion,weight,246,1003,183,0,183,0,0,0.0
Aerion,height,19,1003,161,1,160,1,1,-0.0
Aerion,move,Floaty Fall,1003,473,0,473,0,0,0.0
Aeroclypse,classification,Insect Geminon,887,227,0,227,0,0,0.0
Aeroclypse,types,flying | bug,887,215,14,201,1,16,4.0
Aeroclypse,ability,Shed Skin,887,139,1,138,1,1,-0.0
Aeroclypse,hp,55,887,171,0,171,0,0,0.0
Aeroclypse,attack,85,887,253,3,250,1,3,1.584963
Aeroclypse,defense,41,887,201,0,201,0,0,0.0
Aeroclypse,special attack,107,887,167,1,166,1,1,-0.0
Aeroclypse,special defense,120,887,144,2,142,1,2,1.0
Aeroclypse,speed,81,887,238,1,237,1,1,-0.0
Aeroclypse,base_stat_total,489,887,146,1,145,1,1,-0.0
Aeroclypse,weight,517,887,181,0,181,0,0,0.0
Aeroclypse,height,40,887,153,0,153,0,0,0.0
Aeroclypse,move,Roost,887,390,3,387,1,3,1.584963
Aerocoon,classification,Cocoon Geminon,746,195,0,195,0,0,0.0
Aerocoon,types,flying | bug,746,199,30,169,1,30,4.906891
Aerocoon,ability,Shields Down,746,121,0,121,0,0,0.0
Aerocoon,hp,44,746,128,0,128,0,0,0.0
Aerocoon,attack,67,746,177,2,175,1,2,1.0
Aerocoon,defense,29,746,169,1,168,1,1,-0.0
Aerocoon,special attack,87,746,103,2,101,1,2,1.0
Aerocoon,special defense,84,746,108,3,105,1,3,1.584963
Aerocoon,speed,64,746,169,0,169,0,0,0.0
Aerocoon,base_stat_total,375,746,102,0,102,0,0,0.0
Aerocoon,weight,418,746,150,0,150,0,0,0.0
Aerocoon,height,28,746,134,0,134,0,0,0.0
Aerocoon,move,Tailwind,746,288,0,288,0,0,0.0
Aeroferno,classification,Gale Geminon,117,25,0,25,0,0,0.0
Aeroferno,types,flying | fire,117,26,4,22,1,4,2.0
Aeroferno,ability,Forecast,117,19,0,19,0,0,0.0
Aeroferno,hp,128,117,22,0,22,0,0,0.0
Aeroferno,attack,122,117,31,0,31,0,0,0.0
Aeroferno,defense,74,117,32,1,31,1,1,-0.0
