entity,attribute,gold_value,entity_documents,cue_documents,support_documents,distortion_candidate_documents,covered,distinct_support_formulations,support_formulation_entropy_bits
Aconyx,classification,Onyx Geminon,285,118,91,27,1,91,6.507795
Aconyx,types,dark,285,104,101,3,1,107,6.741467
Aconyx,ability,Soundproof,285,61,60,1,1,60,5.906891
Aconyx,hp,57,285,84,35,49,1,35,5.129283
Aconyx,attack,12,285,113,38,75,1,38,5.247928
Aconyx,defense,26,285,69,29,40,1,29,4.857981
Aconyx,special attack,49,285,74,27,47,1,27,4.754888
Aconyx,special defense,23,285,41,24,17,1,24,4.584963
Aconyx,speed,11,285,116,51,65,1,52,5.70044
Aconyx,base_stat_total,178,285,112,75,37,1,76,6.247928
Aconyx,weight,682,285,83,57,26,1,57,5.83289
Aconyx,height,26,285,85,55,30,1,55,5.78136
Aconyx,move,Hone Claws,285,151,59,92,1,60,5.906891
Aegisstant,classification,Guardian Geminon,749,184,76,108,1,76,6.247928
Aegisstant,types,fighting | dragon,749,126,76,50,1,76,6.247928
Aegisstant,ability,Disguise,749,181,162,19,1,163,7.348728
Aegisstant,hp,89,749,218,35,183,1,35,5.129283
Aegisstant,attack,94,749,111,59,52,1,60,5.906891
Aegisstant,defense,136,749,130,67,63,1,67,6.066089
Aegisstant,special attack,142,749,142,91,51,1,91,6.507795
Aegisstant,special defense,113,749,85,55,30,1,55,5.78136
Aegisstant,speed,127,749,171,107,64,1,106,6.722775
Aegisstant,base_stat_total,701,749,120,74,46,1,74,6.209453
Aegisstant,weight,861,749,75,59,16,1,59,5.882643
Aegisstant,height,48,749,63,44,19,1,44,5.459432
Aegisstant,move,Reversal,749,304,155,149,1,157,7.294621
Aerion,classification,Cloud Geminon,1032,302,194,108,1,195,7.60733
Aerion,types,flying,1032,334,293,41,1,313,8.288251
Aerion,ability,Levitate,1032,149,134,15,1,134,7.066089
Aerion,hp,30,1032,212,91,121,1,91,6.507795
Aerion,attack,45,1032,168,64,104,1,64,6.0
Aerion,defense,20,1032,231,121,110,1,121,6.914344
Aerion,special attack,51,1032,149,71,78,1,72,6.169925
Aerion,special defense,57,1032,195,110,85,1,109,6.763178
Aerion,speed,46,1032,174,84,90,1,84,6.392317
Aerion,base_stat_total,249,1032,211,157,54,1,157,7.291123
Aerion,weight,246,1032,213,148,65,1,148,7.209453
Aerion,height,19,1032,174,94,80,1,94,6.554589
Aerion,move,Floaty Fall,1032,358,149,209,1,148,7.205746
Aeroclypse,classification,Insect Geminon,887,259,137,122,1,139,7.118941
Aeroclypse,types,flying | bug,887,237,161,76,1,162,7.33985
Aeroclypse,ability,Shed Skin,887,132,107,25,1,107,6.741467
Aeroclypse,hp,55,887,221,70,151,1,71,6.149747
Aeroclypse,attack,85,887,104,58,46,1,58,5.857981
Aeroclypse,defense,41,887,180,97,83,1,97,6.599913
Aeroclypse,special attack,107,887,240,153,87,1,153,7.257388
Aeroclypse,special defense,120,887,193,106,87,1,106,6.72792
Aeroclypse,speed,81,887,199,95,104,1,95,6.569856
Aeroclypse,base_stat_total,489,887,158,92,66,1,92,6.523562
Aeroclypse,weight,517,887,165,120,45,1,120,6.906891
Aeroclypse,height,40,887,150,100,50,1,100,6.643856
Aeroclypse,move,Roost,887,373,118,255,1,123,6.942515
Aerocoon,classification,Cocoon Geminon,831,193,110,83,1,111,6.794416
Aerocoon,types,flying | bug,831,181,136,45,1,136,7.087463
Aerocoon,ability,Shields Down,831,118,108,10,1,107,6.736369
Aerocoon,hp,44,831,175,72,103,1,72,6.169925
Aerocoon,attack,67,831,92,41,51,1,42,5.392317
Aerocoon,defense,29,831,223,109,114,1,109,6.768184
Aerocoon,special attack,87,831,224,102,122,1,102,6.672425
Aerocoon,special defense,84,831,121,52,69,1,52,5.70044
Aerocoon,speed,64,831,282,78,204,1,78,6.285402
Aerocoon,base_stat_total,375,831,155,76,79,1,75,6.221612
Aerocoon,weight,418,831,155,112,43,1,112,6.807355
Aerocoon,height,28,831,123,74,49,1,74,6.209453
Aerocoon,move,Tailwind,831,361,112,249,1,112,6.80248
Aeroferno,classification,Gale Geminon,533,168,101,67,1,102,6.672425
Aeroferno,types,flying | fire,533,163,114,49,1,114,6.83289
Aeroferno,ability,Forecast,533,114,101,13,1,102,6.672425
Aeroferno,hp,128,533,94,38,56,1,38,5.247928
Aeroferno,attack,122,533,82,34,48,1,34,5.087463
Aeroferno,defense,74,533,79,38,41,1,38,5.247928
Aeroferno,special attack,155,533,196,106,90,1,106,6.72792
Aeroferno,special defense,187,533,112,49,63,1,49,5.61471
Aeroferno,speed,125,533,167,64,103,1,64,6.0
Aeroferno,base_stat_total,791,533,142,95,47,1,95,6.569856
Aeroferno,weight,901,533,80,58,22,1,58,5.857981
Aeroferno,height,2,533,77,54,23,1,54,5.754888
Aeroferno,move,Heat Wave,533,266,95,171,1,93,6.46774
Aerofir,classification,Dart Geminon,922,318,207,111,1,209,7.707359
Aerofir,types,steel,922,277,264,13,1,284,8.149747
Aerofir,ability,Gale Wings,922,161,151,10,1,153,7.257388
Aerofir,hp,81,922,156,55,101,1,55,5.78136
Aerofir,attack,61,922,174,74,100,1,74,6.209453
Aerofir,defense,67,922,132,75,57,1,75,6.228819
Aerofir,special attack,63,922,91,53,38,1,53,5.72792
Aerofir,special defense,70,922,88,61,27,1,61,5.930737
Aerofir,speed,95,922,322,183,139,1,183,7.5157
Aerofir,base_stat_total,437,922,156,90,66,1,90,6.491853
Aerofir,weight,292,922,202,137,65,1,137,7.098032
Aerofir,height,41,922,180,101,79,1,101,6.658211
Aerofir,move,Bullet Punch,922,272,125,147,1,126,6.972937
Aerolume,classification,Aura Geminon,935,285,198,87,1,200,7.643856
Aerolume,types,psychic,935,283,267,16,1,288,8.169925
Aerolume,ability,Ice Body,935,157,146,11,1,146,7.189825
Aerolume,hp,18,935,283,179,104,1,178,7.472643
Aerolume,attack,107,935,360,217,143,1,216,7.752335
Aerolume,defense,90,935,132,73,59,1,73,6.189825
Aerolume,special attack,87,935,62,33,29,1,33,5.044394
Aerolume,special defense,62,935,85,45,40,1,45,5.491853
Aerolume,speed,56,935,206,80,126,1,80,6.321928
Aerolume,base_stat_total,420,935,152,92,60,1,92,6.523562
Aerolume,weight,38,935,220,156,64,1,155,7.272582
Aerolume,height,4,935,191,127,64,1,126,6.972937
Aerolume,move,Photon Geyser,935,461,127,334,1,127,6.988685
Aeromiasma,classification,Aura Geminon,723,208,137,71,1,138,7.108524
Aeromiasma,types,psychic | poison,723,190,133,57,1,134,7.066089
Aeromiasma,ability,Galvanize,723,115,98,17,1,99,6.629357
Aeromiasma,hp,26,723,215,109,106,1,109,6.768184
Aeromiasma,attack,159,723,368,162,206,1,162,7.33985
Aeromiasma,defense,140,723,115,53,62,1,53,5.72792
Aeromiasma,special attack,139,723,128,60,68,1,60,5.906891
Aeromiasma,special defense,91,723,57,34,23,1,34,5.087463
Aeromiasma,speed,90,723,173,68,105,1,68,6.087463
Aeromiasma,base_stat_total,645,723,118,68,50,1,68,6.087463
Aeromiasma,weight,61,723,138,106,32,1,107,6.741467
Aeromiasma,height,7,723,116,87,29,1,87,6.442943
Aeromiasma,move,Meditate,723,387,108,279,1,109,6.768184
Aerozzle,classification,Draft Geminon,556,203,130,73,1,131,7.033423
Aerozzle,types,flying | fire,556,171,130,41,1,132,7.044394
Aerozzle,ability,Immunity,556,130,109,21,1,109,6.768184
Aerozzle,hp,77,556,97,39,58,1,39,5.285402
Aerozzle,attack,77,556,109,47,62,1,47,5.554589
Aerozzle,defense,51,556,115,58,57,1,58,5.857981
Aerozzle,special attack,91,556,144,77,67,1,77,6.266787
Aerozzle,special defense,112,556,115,63,52,1,64,6.0
Aerozzle,speed,89,556,148,52,96,1,52,5.70044
Aerozzle,base_stat_total,497,556,115,60,55,1,60,5.906891
Aerozzle,weight,563,556,139,86,53,1,87,6.442943
Aerozzle,height,1,556,120,80,40,1,81,6.33985
Aerozzle,move,Gust,556,252,110,142,1,113,6.820179
Aethlock,classification,Sky Geminon,342,134,103,31,1,103,6.668961
Aethlock,types,dragon | normal,342,133,105,28,1,104,6.683063
Aethlock,ability,Air Lock,342,74,74,0,1,74,6.209453
Aethlock,hp,80,342,139,70,69,1,70,6.129283
Aethlock,attack,37,342,150,65,85,1,65,6.022368
Aethlock,defense,67,342,123,70,53,1,70,6.129283
Aethlock,special attack,39,342,67,54,13,1,54,5.754888
Aethlock,special defense,33,342,47,33,14,1,33,5.044394
Aethlock,speed,57,342,120,68,52,1,68,6.087463
Aethlock,base_stat_total,313,342,144,108,36,1,106,6.71785
Aethlock,weight,140,342,96,76,20,1,77,6.266787
Aethlock,height,2,342,88,70,18,1,71,6.149747
Aethlock,move,Breaking Swipe,342,175,75,100,1,75,6.228819
Algacelus,classification,Current Geminon,527,115,65,50,1,65,6.022368
Algacelus,types,water | normal,527,94,65,29,1,66,6.044394
Algacelus,ability,Speed Boost,527,112,101,11,1,102,6.672425
Algacelus,hp,67,527,69,27,42,1,27,4.754888
Algacelus,attack,113,527,89,57,32,1,57,5.83289
Algacelus,defense,17,527,137,93,44,1,95,6.569856
Algacelus,special attack,173,527,192,124,68,1,124,6.954196
Algacelus,special defense,74,527,28,17,11,1,17,4.087463
Algacelus,speed,88,527,225,72,153,1,72,6.169925
Algacelus,base_stat_total,532,527,85,49,36,1,49,5.61471
Algacelus,weight,630,527,80,62,18,1,61,5.921938
Algacelus,height,2,527,74,56,18,1,55,5.771641
Algacelus,move,Fake Out,527,274,75,199,1,75,6.228819
Algapus,classification,Algae Geminon,752,198,121,77,1,121,6.918863
Algapus,types,water | fairy,752,200,155,45,1,158,7.303781
Algapus,ability,Grass Pelt,752,123,103,20,1,104,6.70044
Algapus,hp,33,752,179,76,103,1,76,6.247928
Algapus,attack,60,752,79,46,33,1,46,5.523562
Algapus,defense,9,752,199,97,102,1,99,6.629357
Algapus,special attack,91,752,232,134,98,1,134,7.066089
Algapus,special defense,37,752,56,32,24,1,32,5.0
Algapus,speed,47,752,131,67,64,1,66,6.036238
Algapus,base_stat_total,277,752,113,67,46,1,67,6.066089
Algapus,weight,315,752,142,87,55,1,87,6.442943
Algapus,height,1,752,131,79,52,1,79,6.303781
Algapus,move,Octazooka,752,330,98,232,1,100,6.643856
Algathus,classification,Algae Geminon,671,144,106,38,1,107,6.741467
Algathus,types,water | normal,671,135,104,31,1,104,6.70044
Algathus,ability,Minus,671,75,70,5,1,70,6.129283
Algathus,hp,51,671,213,66,147,1,66,6.044394
Algathus,attack,101,671,97,47,50,1,47,5.554589
Algathus,defense,15,671,225,127,98,1,127,6.988685
Algathus,special attack,146,671,261,160,101,1,160,7.321928
Algathus,special defense,54,671,32,23,9,1,23,4.523562
Algathus,speed,66,671,143,64,79,1,64,6.0
Algathus,base_stat_total,433,671,113,62,51,1,62,5.954196
Algathus,weight,504,671,116,73,43,1,73,6.189825
Algathus,height,2,671,106,64,42,1,64,6.0
Algathus,move,Pain Split,671,348,81,267,1,81,6.33985
Ambragum,classification,Resin Geminon,695,209,142,67,1,143,7.159871
Ambragum,types,rock,695,205,198,7,1,210,7.714246
Ambragum,ability,Gooey,695,131,120,11,1,122,6.930737
Ambragum,hp,62,695,67,19,48,1,19,4.247928
Ambragum,attack,87,695,143,75,68,1,75,6.228819
Ambragum,defense,94,695,145,81,64,1,81,6.333162
Ambragum,special attack,81,695,57,31,26,1,31,4.954196
Ambragum,special defense,67,695,48,31,17,1,30,4.88968
Ambragum,speed,61,695,224,58,166,1,56,5.789015
Ambragum,base_stat_total,452,695,101,56,45,1,56,5.807355
Ambragum,weight,128,695,125,86,39,1,87,6.442943
Ambragum,height,19,695,107,53,54,1,53,5.72792
